Наименование,Адрес,Вредоносность,Регистрация в реестре,Используется арендованное помещение,Маскируют свою деятельность,Категория объекта,Колличество жалоб на предприятие
Диск,"Челябинская область, г. Челябинск, ул. Степана Разина, д.1",1,0,1,1,2,2
Уральский завод точной механики,"г. Челябинк, ул. Степана Разина, д. 1Б",1,0,1,1,3,3
СтальКомплектСтрой,"Челябинская область, г. Челябинск, ул. Степана Разина, к. 1/3",1,0,1,1,2,3
ГАЗСЕРВИССТРОЙ,"г. Челябинск, ул. Степана Разина, производственный корпус 1/3",1,0,1,1,4,3
Гидромолот,"Челябинская область, г. Челябинск, ул. Степана Разина, 1",1,0,1,1,1,5
ЧелПромМодель,"г. Челябинск, ул. Степана Разина, 1",1,0,1,1,3,9
Гидротех,"г. Челябинск, Разина,1 цех 8",1,0,1,1,2,3
ПРОИЗВОДСТВЕННАЯ,"г. Челябинск , ул. Степана Разина, д. 1, пом. 2, офис 33",1,0,1,1,1,3
АГЗС,"Челябинская обл., г. Челябинск, ул. Потребительская 2-ая, 6",1,1,1,0,4,2
Обособленное подразделение АГЗС № 25/74,"Челябинская область, г.Коркино, ул.30 лет ВЛКСМ, д.62-а",1,1,1,0,2,1
Площадка №1. Производственная база в с. Долгодеревенское,"456510, Челябинская область, Сосновский район, с. Долгодеревенское, ул. Свердловская, 1а",1,1,1,0,2,4
Площадка №2. Производственная база в с. Кунашак,"456730, Челябинская область, Кунашакский район, с. Кунашак, ул. Николаева, 18.",1,1,1,0,2,1
Площадка №1. Кунашакский АБЗ.,"Челябинская область, с. Кунашак, кадастровый номер 74:13:0804005:4.",1,1,1,0,3,1
Площадка №2. Есаульский АБЗ.,"Челябинская область, п. Есаульский, кадастровый номер 74:19:0701005:30.",1,1,1,0,1,1
Площадка №3. Султаевский АБЗ.,"Челябинская область, д. Султаева, кадастровые номера 74:19:0104006:100; 74:19:0104006:95",1,1,1,0,2,3
Производственная площадка по изготовлению прицепной техники,"454008, Челябинская обл., г. Челябинск, Свердловский тракт, дом № 38, корпус 3",0,1,0,0,2,0
Основная площадка,"454081, Челябинская область, г. Челябинск, ул. Героев Танкограда, 28 П",0,1,0,0,3,0
Площадка №1. Котельная станции Тамерлан,"457200, Челябинская область, с. Варна, ул. Ленина д. 16 стр. 1",1,1,0,0,3,0
Производственная площадка,"456510, Россия, Челябинская область, Сосновский район, д. Новое Поле",1,1,0,0,4,0
Производственная площадка,"455000, Челябинская обл., г. Магнитогорск, ул. Дорожная, д. 12 корп.1",1,1,1,0,1,0
котельная «МСКОУ школа-интернат № 8»,"Челябинская область, г. Пласт, ул. Коминтерна, 62",1,1,1,0,2,1
котельная «МКОУ ДОД ЦрТдЮ «Радуга»,"Челябинская область, г. Пласт, ул. Приисковая, 40",1,1,1,0,3,5
Котельная «Детский сад «Солнышко»,"Челябинская область, г. Пласт, ул. Новый быт, 19",1,1,1,0,2,0
Промплощадка,"454081, г. Челябинск, ул. Шадринская, 100",1,1,0,0,3,1
Производственная площадка,"457100, Челябинская область, г.Троицк, ул.Инженерная, 156",1,1,1,0,3,2
"АО ""ТОРГОВЫЙ ДОМ ""БОВИД""","454079, г. Челябинск, ул. Линейная, д. 98, скл. 8",0,0,1,0,4,0
"ООО ПКФ ""ИНССТАЛЬ""","454010, г. Челябинск, ул. Енисейская, д. 32",0,0,1,0,4,0
"ООО ""МОДЕРН ГЛАСС""","454007, г. Челябинск, пр-кт Ленина, д. 3, КАБИНЕТ 312",0,0,1,0,4,0
"ООО ТД ""УРАЛМЯСТОРГ""","454087, г. Челябинск, ул. Дарвина, д. 4, ОФИС 29",0,0,1,0,4,0
"ООО ТК ""ПАРТНЕР""","454012, г. Челябинск, Копейское ш., д. 1-П, Литера А5, ОФИС 28",0,0,1,0,4,0
"ООО ""УРАЛКАМ""","454038, г. Челябинск, ш. Металлургов, д. 21П",0,0,1,0,4,0
"ООО ""АВТОКОМПЛЕКС ""РЕГИНАС""","454003, г. Челябинск, ул. Братьев Кашириных, 141, А",1,0,1,0,2,5
"ООО ""ЧХЗ ""ОКСИД""","454008, г. Челябинск, Свердловский тракт, д. 5, оф. 1",1,0,1,0,3,4
"ООО ""ДСТ-УРАЛ""","454081, г. Челябинск, ул. Героев Танкограда, д. 28П, ОФИС 1",1,0,0,0,3,7
"ООО ПО ""СПЕЦМОСТКОНСТРУКЦИЯ""","454047, г. Челябинск, ул. Сталеваров, д. 5, НЕЖ.ПОМ. 4, ОФИС 305",1,0,0,0,3,2
"ООО ""МАГИСТРАЛЬ""","454006, г. Челябинск, ул. Российская, д. 110, стр. 1, ОФИС 401",1,0,0,0,2,20
"ООО ""ПРОМКАБЕЛЬ""","454084, г. Челябинск, ул. Кожзаводская, д. 100, ЭТАЖ 3 НЕЖИЛОЕ ПОМЕЩЕНИЕ 20",0,0,0,0,4,0
"ООО ""АЛЬЯНС""","454091, г. Челябинск, ул. Советская, д. 21, НЕЖ. ПОМ. 5",0,0,0,0,4,0
"ООО ""МАШПРОМКОМПЛЕКТ""","454090, г. Челябинск, пр-кт Ленина, д. 23Б, ПОМЕЩ. 2 КАБ. 10",0,0,0,0,4,0
"АО ""ГАЗПРОМ ГАЗОРАСПРЕДЕЛЕНИЕ ЧЕЛЯБИНСК""","454080, г. Челябинск, ул. Сони Кривой, д. 69А, КАБИНЕТ 32",0,0,1,0,4,0
"ООО ""ПИРАМИДА ГРУПП""","454080, г. Челябинск, ул. Труда, д. 166, оф. 7",1,0,1,0,2,5
"ООО ""УРАЛ-МЕТАЛЛ""","454053, г. Челябинск, Троицкий тракт, д. 9, ОФИС 1",1,0,1,0,2,17
"ООО ""ЛОМТОРГ""","454084, г. Челябинск, ул. Набережная, д. 11, Неж.Пом. 1, ОФИС 3",1,0,1,0,2,27
"ООО ""М-СЕРВИС""","454003, г. Челябинск, ул. Братьев Кашириных, д. 139",1,0,1,0,3,34
"ООО ""АКЦЕНТ - АВТО М""","454008, г. Челябинск, Свердловский тракт, д. 15-Б",0,0,1,0,4,0
